time,division,beat,phase
0.174150,4,0,0
0.174150,8,0,0
0.174150,16,0,0
0.174150,32,0,0
0.251066,32,0,1
0.327982,16,0,1
0.327982,32,0,2
0.404898,32,0,3
0.481814,8,0,1
0.481814,16,0,2
0.481814,32,0,4
0.558730,32,0,5
0.635646,16,0,3
0.635646,32,0,6
0.712562,32,0,7
0.789478,4,1,0
0.789478,8,1,0
0.789478,16,1,0
0.789478,32,1,0
0.863492,32,1,1
0.937506,16,1,1
0.937506,32,1,2
1.011519,32,1,3
1.085533,8,1,1
1.085533,16,1,2
1.085533,32,1,4
1.159546,32,1,5
1.233560,16,1,3
1.233560,32,1,6
1.307574,32,1,7
1.381587,4,2,0
1.381587,8,2,0
1.381587,16,2,0
1.381587,32,2,0
1.458503,32,2,1
1.535420,16,2,1
1.535420,32,2,2
1.612336,32,2,3
1.689252,8,2,1
1.689252,16,2,2
1.689252,32,2,4
1.766168,32,2,5
1.843084,16,2,3
1.843084,32,2,6
1.920000,32,2,7
1.996916,4,3,0
1.996916,8,3,0
1.996916,16,3,0
1.996916,32,3,0
2.072381,32,3,1
2.147846,16,3,1
2.147846,32,3,2
2.223311,32,3,3
2.298776,8,3,1
2.298776,16,3,2
2.298776,32,3,4
2.374240,32,3,5
2.449705,16,3,3
2.449705,32,3,6
2.525170,32,3,7
2.600635,4,4,0
2.600635,8,4,0
2.600635,16,4,0
2.600635,32,4,0
2.677551,32,4,1
2.754467,16,4,1
2.754467,32,4,2
2.831383,32,4,3
2.908299,8,4,1
2.908299,16,4,2
2.908299,32,4,4
2.985215,32,4,5
3.062132,16,4,3
3.062132,32,4,6
3.139048,32,4,7
3.215964,4,5,0
3.215964,8,5,0
3.215964,16,5,0
3.215964,32,5,0
3.291429,32,5,1
3.366893,16,5,1
3.366893,32,5,2
3.442358,32,5,3
3.517823,8,5,1
3.517823,16,5,2
3.517823,32,5,4
3.593288,32,5,5
3.668753,16,5,3
3.668753,32,5,6
3.744218,32,5,7
3.819683,4,6,0
3.819683,8,6,0
3.819683,16,6,0
3.819683,32,6,0
3.896599,32,6,1
3.973515,16,6,1
3.973515,32,6,2
4.050431,32,6,3
4.127347,8,6,1
4.127347,16,6,2
4.127347,32,6,4
4.204263,32,6,5
4.281179,16,6,3
4.281179,32,6,6
4.358095,32,6,7
4.435011,4,7,0
4.435011,8,7,0
4.435011,16,7,0
4.435011,32,7,0
4.510476,32,7,1
4.585941,16,7,1
4.585941,32,7,2
4.661406,32,7,3
4.736871,8,7,1
4.736871,16,7,2
4.736871,32,7,4
4.812336,32,7,5
4.887800,16,7,3
4.887800,32,7,6
4.963265,32,7,7
5.038730,4,8,0
5.038730,8,8,0
5.038730,16,8,0
5.038730,32,8,0
5.112744,32,8,1
5.186757,16,8,1
5.186757,32,8,2
5.260771,32,8,3
5.334785,8,8,1
5.334785,16,8,2
5.334785,32,8,4
5.408798,32,8,5
5.482812,16,8,3
5.482812,32,8,6
5.556825,32,8,7
5.630839,4,9,0
5.630839,8,9,0
5.630839,16,9,0
5.630839,32,9,0
5.706304,32,9,1
5.781769,16,9,1
5.781769,32,9,2
5.857234,32,9,3
5.932698,8,9,1
5.932698,16,9,2
5.932698,32,9,4
6.008163,32,9,5
6.083628,16,9,3
6.083628,32,9,6
6.159093,32,9,7
6.234558,4,10,0
6.234558,8,10,0
6.234558,16,10,0
6.234558,32,10,0
6.308571,32,10,1
6.382585,16,10,1
6.382585,32,10,2
6.456599,32,10,3
6.530612,8,10,1
6.530612,16,10,2
6.530612,32,10,4
6.604626,32,10,5
6.678639,16,10,3
6.678639,32,10,6
6.752653,32,10,7
6.826667,4,11,0
6.826667,8,11,0
6.826667,16,11,0
6.826667,32,11,0
6.902132,32,11,1
6.977596,16,11,1
6.977596,32,11,2
7.053061,32,11,3
7.128526,8,11,1
7.128526,16,11,2
7.128526,32,11,4
7.203991,32,11,5
7.279456,16,11,3
7.279456,32,11,6
7.354921,32,11,7
7.430385,4,12,0
7.430385,8,12,0
7.430385,16,12,0
7.430385,32,12,0
7.505850,32,12,1
7.581315,16,12,1
7.581315,32,12,2
7.656780,32,12,3
7.732245,8,12,1
7.732245,16,12,2
7.732245,32,12,4
7.807710,32,12,5
7.883175,16,12,3
7.883175,32,12,6
7.958639,32,12,7
8.034104,4,13,0
8.034104,8,13,0
8.034104,16,13,0
8.034104,32,13,0
8.111020,32,13,1
8.187937,16,13,1
8.187937,32,13,2
8.264853,32,13,3
8.341769,8,13,1
8.341769,16,13,2
8.341769,32,13,4
8.418685,32,13,5
8.495601,16,13,3
8.495601,32,13,6
8.572517,32,13,7
8.649433,4,14,0
8.649433,8,14,0
8.649433,16,14,0
8.649433,32,14,0
8.724898,32,14,1
8.800363,16,14,1
8.800363,32,14,2
8.875828,32,14,3
8.951293,8,14,1
8.951293,16,14,2
8.951293,32,14,4
9.026757,32,14,5
9.102222,16,14,3
9.102222,32,14,6
9.177687,32,14,7
9.253152,4,15,0
9.253152,8,15,0
9.253152,16,15,0
9.253152,32,15,0
9.330068,32,15,1
9.406984,16,15,1
9.406984,32,15,2
9.483900,32,15,3
9.560816,8,15,1
9.560816,16,15,2
9.560816,32,15,4
9.637732,32,15,5
9.714649,16,15,3
9.714649,32,15,6
9.791565,32,15,7
9.868481,4,16,0
9.868481,8,16,0
9.868481,16,16,0
9.868481,32,16,0
9.945397,32,16,1
10.022313,16,16,1
10.022313,32,16,2
10.099229,32,16,3
10.176145,8,16,1
10.176145,16,16,2
10.176145,32,16,4
10.253061,32,16,5
10.329977,16,16,3
10.329977,32,16,6
10.406893,32,16,7
10.483810,4,17,0
10.483810,8,17,0
10.483810,16,17,0
10.483810,32,17,0
10.557823,32,17,1
10.631837,16,17,1
10.631837,32,17,2
10.705850,32,17,3
10.779864,8,17,1
10.779864,16,17,2
10.779864,32,17,4
10.853878,32,17,5
10.927891,16,17,3
10.927891,32,17,6
11.001905,32,17,7
11.075918,4,18,0
11.075918,8,18,0
11.075918,16,18,0
11.075918,32,18,0
11.152834,32,18,1
11.229751,16,18,1
11.229751,32,18,2
11.306667,32,18,3
11.383583,8,18,1
11.383583,16,18,2
11.383583,32,18,4
11.460499,32,18,5
11.537415,16,18,3
11.537415,32,18,6
11.614331,32,18,7
11.691247,4,19,0
11.691247,8,19,0
11.691247,16,19,0
11.691247,32,19,0
11.766712,32,19,1
11.842177,16,19,1
11.842177,32,19,2
11.917642,32,19,3
11.993107,8,19,1
11.993107,16,19,2
11.993107,32,19,4
12.068571,32,19,5
12.144036,16,19,3
12.144036,32,19,6
12.219501,32,19,7
12.294966,4,20,0
12.294966,8,20,0
12.294966,16,20,0
12.294966,32,20,0
12.371882,32,20,1
12.448798,16,20,1
12.448798,32,20,2
12.525714,32,20,3
12.602630,8,20,1
12.602630,16,20,2
12.602630,32,20,4
12.679546,32,20,5
12.756463,16,20,3
12.756463,32,20,6
12.833379,32,20,7
12.910295,4,21,0
12.910295,8,21,0
12.910295,16,21,0
12.910295,32,21,0
12.985760,32,21,1
13.061224,16,21,1
13.061224,32,21,2
13.136689,32,21,3
13.212154,8,21,1
13.212154,16,21,2
13.212154,32,21,4
13.287619,32,21,5
13.363084,16,21,3
13.363084,32,21,6
13.438549,32,21,7
13.514014,4,22,0
13.514014,8,22,0
13.514014,16,22,0
13.514014,32,22,0
13.590930,32,22,1
13.667846,16,22,1
13.667846,32,22,2
13.744762,32,22,3
13.821678,8,22,1
13.821678,16,22,2
13.821678,32,22,4
13.898594,32,22,5
13.975510,16,22,3
13.975510,32,22,6
14.052426,32,22,7
14.129342,4,23,0
14.129342,8,23,0
14.129342,16,23,0
14.129342,32,23,0
14.204807,32,23,1
14.280272,16,23,1
14.280272,32,23,2
14.355737,32,23,3
14.431202,8,23,1
14.431202,16,23,2
14.431202,32,23,4
14.506667,32,23,5
14.582132,16,23,3
14.582132,32,23,6
14.657596,32,23,7
14.733061,4,24,0
14.733061,8,24,0
14.733061,16,24,0
14.733061,32,24,0
14.807075,32,24,1
14.881088,16,24,1
14.881088,32,24,2
14.955102,32,24,3
15.029116,8,24,1
15.029116,16,24,2
15.029116,32,24,4
15.103129,32,24,5
15.177143,16,24,3
15.177143,32,24,6
15.251156,32,24,7
15.325170,4,25,0
15.325170,8,25,0
15.325170,16,25,0
15.325170,32,25,0
15.400635,32,25,1
15.476100,16,25,1
15.476100,32,25,2
15.551565,32,25,3
15.627029,8,25,1
15.627029,16,25,2
15.627029,32,25,4
15.702494,32,25,5
15.777959,16,25,3
15.777959,32,25,6
15.853424,32,25,7
15.928889,4,26,0
15.928889,8,26,0
15.928889,16,26,0
15.928889,32,26,0
16.002902,32,26,1
16.076916,16,26,1
16.076916,32,26,2
16.150930,32,26,3
16.224943,8,26,1
16.224943,16,26,2
16.224943,32,26,4
16.298957,32,26,5
16.372971,16,26,3
16.372971,32,26,6
16.446984,32,26,7
16.520998,4,27,0
16.520998,8,27,0
16.520998,16,27,0
16.520998,32,27,0
16.596463,32,27,1
16.671927,16,27,1
16.671927,32,27,2
16.747392,32,27,3
16.822857,8,27,1
16.822857,16,27,2
16.822857,32,27,4
16.898322,32,27,5
16.973787,16,27,3
16.973787,32,27,6
17.049252,32,27,7
17.124717,4,28,0
17.124717,8,28,0
17.124717,16,28,0
17.124717,32,28,0
17.200181,32,28,1
17.275646,16,28,1
17.275646,32,28,2
17.351111,32,28,3
17.426576,8,28,1
17.426576,16,28,2
17.426576,32,28,4
17.502041,32,28,5
17.577506,16,28,3
17.577506,32,28,6
17.652971,32,28,7
17.728435,4,29,0
17.728435,8,29,0
17.728435,16,29,0
17.728435,32,29,0
17.805351,32,29,1
17.882268,16,29,1
17.882268,32,29,2
17.959184,32,29,3
18.036100,8,29,1
18.036100,16,29,2
18.036100,32,29,4
18.113016,32,29,5
18.189932,16,29,3
18.189932,32,29,6
18.266848,32,29,7
18.343764,4,30,0
18.343764,8,30,0
18.343764,16,30,0
18.343764,32,30,0
18.420680,32,30,1
18.497596,16,30,1
18.497596,32,30,2
18.574512,32,30,3
18.651429,8,30,1
18.651429,16,30,2
18.651429,32,30,4
18.728345,32,30,5
18.805261,16,30,3
18.805261,32,30,6
18.882177,32,30,7
18.959093,4,31,0
18.959093,8,31,0
18.959093,16,31,0
18.959093,32,31,0
19.036009,32,31,1
19.112925,16,31,1
19.112925,32,31,2
19.189841,32,31,3
19.266757,8,31,1
19.266757,16,31,2
19.266757,32,31,4
19.343673,32,31,5
19.420590,16,31,3
19.420590,32,31,6
19.497506,32,31,7
19.574422,4,32,0
19.574422,8,32,0
19.574422,16,32,0
19.574422,32,32,0
19.648435,32,32,1
19.722449,16,32,1
19.722449,32,32,2
19.796463,32,32,3
19.870476,8,32,1
19.870476,16,32,2
19.870476,32,32,4
19.944490,32,32,5
20.018503,16,32,3
20.018503,32,32,6
20.092517,32,32,7
20.166531,4,33,0
20.166531,8,33,0
20.166531,16,33,0
20.166531,32,33,0
20.244898,32,33,1
20.323265,16,33,1
20.323265,32,33,2
20.401633,32,33,3
20.480000,8,33,1
20.480000,16,33,2
20.480000,32,33,4
20.558367,32,33,5
20.636735,16,33,3
20.636735,32,33,6
20.715102,32,33,7
20.793469,4,34,0
20.793469,8,34,0
20.793469,16,34,0
20.793469,32,34,0
20.867483,32,34,1
20.941497,16,34,1
20.941497,32,34,2
21.015510,32,34,3
21.089524,8,34,1
21.089524,16,34,2
21.089524,32,34,4
21.163537,32,34,5
21.237551,16,34,3
21.237551,32,34,6
21.311565,32,34,7
21.385578,4,35,0
21.385578,8,35,0
21.385578,16,35,0
21.385578,32,35,0
21.462494,32,35,1
21.539410,16,35,1
21.539410,32,35,2
21.616327,32,35,3
21.693243,8,35,1
21.693243,16,35,2
21.693243,32,35,4
21.770159,32,35,5
21.847075,16,35,3
21.847075,32,35,6
21.923991,32,35,7
22.000907,4,36,0
22.000907,8,36,0
22.000907,16,36,0
22.000907,32,36,0
22.074921,32,36,1
22.148934,16,36,1
22.148934,32,36,2
22.222948,32,36,3
22.296961,8,36,1
22.296961,16,36,2
22.296961,32,36,4
22.370975,32,36,5
22.444989,16,36,3
22.444989,32,36,6
22.519002,32,36,7
22.593016,4,37,0
22.593016,8,37,0
22.593016,16,37,0
22.593016,32,37,0
22.669932,32,37,1
22.746848,16,37,1
22.746848,32,37,2
22.823764,32,37,3
22.900680,8,37,1
22.900680,16,37,2
22.900680,32,37,4
22.977596,32,37,5
23.054512,16,37,3
23.054512,32,37,6
23.131429,32,37,7
23.208345,4,38,0
23.208345,8,38,0
23.208345,16,38,0
23.208345,32,38,0
23.283810,32,38,1
23.359274,16,38,1
23.359274,32,38,2
23.434739,32,38,3
23.510204,8,38,1
23.510204,16,38,2
23.510204,32,38,4
23.585669,32,38,5
23.661134,16,38,3
23.661134,32,38,6
23.736599,32,38,7
23.812063,4,39,0
23.812063,8,39,0
23.812063,16,39,0
23.812063,32,39,0
23.888980,32,39,1
23.965896,16,39,1
23.965896,32,39,2
24.042812,32,39,3
24.119728,8,39,1
24.119728,16,39,2
24.119728,32,39,4
24.196644,32,39,5
24.273560,16,39,3
24.273560,32,39,6
24.350476,32,39,7
24.427392,4,40,0
24.427392,8,40,0
24.427392,16,40,0
24.427392,32,40,0
24.501406,32,40,1
24.575420,16,40,1
24.575420,32,40,2
24.649433,32,40,3
24.723447,8,40,1
24.723447,16,40,2
24.723447,32,40,4
24.797460,32,40,5
24.871474,16,40,3
24.871474,32,40,6
24.945488,32,40,7
25.019501,4,41,0
25.019501,8,41,0
25.019501,16,41,0
25.019501,32,41,0
25.096417,32,41,1
25.173333,16,41,1
25.173333,32,41,2
25.250249,32,41,3
25.327166,8,41,1
25.327166,16,41,2
25.327166,32,41,4
25.404082,32,41,5
25.480998,16,41,3
25.480998,32,41,6
25.557914,32,41,7
25.634830,4,42,0
25.634830,8,42,0
25.634830,16,42,0
25.634830,32,42,0
25.708844,32,42,1
25.782857,16,42,1
25.782857,32,42,2
25.856871,32,42,3
25.930884,8,42,1
25.930884,16,42,2
25.930884,32,42,4
26.004898,32,42,5
26.078912,16,42,3
26.078912,32,42,6
26.152925,32,42,7
26.226939,4,43,0
26.226939,8,43,0
26.226939,16,43,0
26.226939,32,43,0
26.303855,32,43,1
26.380771,16,43,1
26.380771,32,43,2
26.457687,32,43,3
26.534603,8,43,1
26.534603,16,43,2
26.534603,32,43,4
26.611519,32,43,5
26.688435,16,43,3
26.688435,32,43,6
26.765351,32,43,7
26.842268,4,44,0
26.842268,8,44,0
26.842268,16,44,0
26.842268,32,44,0
26.917732,32,44,1
26.993197,16,44,1
26.993197,32,44,2
27.068662,32,44,3
27.144127,8,44,1
27.144127,16,44,2
27.144127,32,44,4
27.219592,32,44,5
27.295057,16,44,3
27.295057,32,44,6
27.370522,32,44,7
27.445986,4,45,0
27.445986,8,45,0
27.445986,16,45,0
27.445986,32,45,0
27.522902,32,45,1
27.599819,16,45,1
27.599819,32,45,2
27.676735,32,45,3
27.753651,8,45,1
27.753651,16,45,2
27.753651,32,45,4
27.830567,32,45,5
27.907483,16,45,3
27.907483,32,45,6
27.984399,32,45,7
28.061315,4,46,0
28.061315,8,46,0
28.061315,16,46,0
28.061315,32,46,0
28.135329,32,46,1
28.209342,16,46,1
28.209342,32,46,2
28.283356,32,46,3
28.357370,8,46,1
28.357370,16,46,2
28.357370,32,46,4
28.431383,32,46,5
28.505397,16,46,3
28.505397,32,46,6
28.579410,32,46,7
28.653424,4,47,0
28.653424,8,47,0
28.653424,16,47,0
28.653424,32,47,0
28.730340,32,47,1
28.807256,16,47,1
28.807256,32,47,2
28.884172,32,47,3
28.961088,8,47,1
28.961088,16,47,2
28.961088,32,47,4
29.038005,32,47,5
29.114921,16,47,3
29.114921,32,47,6
29.191837,32,47,7
29.268753,4,48,0
29.268753,8,48,0
29.268753,16,48,0
29.268753,32,48,0
29.342766,32,48,1
29.416780,16,48,1
29.416780,32,48,2
29.490794,32,48,3
29.564807,8,48,1
29.564807,16,48,2
29.564807,32,48,4
29.638821,32,48,5
29.712834,16,48,3
29.712834,32,48,6
29.786848,32,48,7
29.860862,4,49,0
29.860862,8,49,0
29.860862,16,49,0
29.860862,32,49,0
29.939229,32,49,1
30.017596,16,49,1
30.017596,32,49,2
30.095964,32,49,3
30.174331,8,49,1
30.174331,16,49,2
30.174331,32,49,4
30.252698,32,49,5
30.331066,16,49,3
30.331066,32,49,6
30.409433,32,49,7
30.487800,4,50,0
30.487800,8,50,0
30.487800,16,50,0
30.487800,32,50,0
30.561814,32,50,1
30.635828,16,50,1
30.635828,32,50,2
30.709841,32,50,3
30.783855,8,50,1
30.783855,16,50,2
30.783855,32,50,4
30.857868,32,50,5
30.931882,16,50,3
30.931882,32,50,6
31.005896,32,50,7
31.079909,4,51,0
31.079909,8,51,0
31.079909,16,51,0
31.079909,32,51,0
31.156825,32,51,1
31.233741,16,51,1
31.233741,32,51,2
31.310658,32,51,3
31.387574,8,51,1
31.387574,16,51,2
31.387574,32,51,4
31.464490,32,51,5
31.541406,16,51,3
31.541406,32,51,6
31.618322,32,51,7
31.695238,4,52,0
31.695238,8,52,0
31.695238,16,52,0
31.695238,32,52,0
31.769252,32,52,1
31.843265,16,52,1
31.843265,32,52,2
31.917279,32,52,3
31.991293,8,52,1
31.991293,16,52,2
31.991293,32,52,4
32.065306,32,52,5
32.139320,16,52,3
32.139320,32,52,6
32.213333,32,52,7
32.287347,4,53,0
32.287347,8,53,0
32.287347,16,53,0
32.287347,32,53,0
32.364263,32,53,1
32.441179,16,53,1
32.441179,32,53,2
32.518095,32,53,3
32.595011,8,53,1
32.595011,16,53,2
32.595011,32,53,4
32.671927,32,53,5
32.748844,16,53,3
32.748844,32,53,6
32.825760,32,53,7
32.902676,4,54,0
32.902676,8,54,0
32.902676,16,54,0
32.902676,32,54,0
32.976689,32,54,1
33.050703,16,54,1
33.050703,32,54,2
33.124717,32,54,3
33.198730,8,54,1
33.198730,16,54,2
33.198730,32,54,4
33.272744,32,54,5
33.346757,16,54,3
33.346757,32,54,6
33.420771,32,54,7
33.494785,4,55,0
33.494785,8,55,0
33.494785,16,55,0
33.494785,32,55,0
33.573152,32,55,1
33.651519,16,55,1
33.651519,32,55,2
33.729887,32,55,3
33.808254,8,55,1
33.808254,16,55,2
33.808254,32,55,4
33.886621,32,55,5
33.964989,16,55,3
33.964989,32,55,6
34.043356,32,55,7
34.121723,4,56,0
34.121723,8,56,0
34.121723,16,56,0
34.121723,32,56,0
34.195737,32,56,1
34.269751,16,56,1
34.269751,32,56,2
34.343764,32,56,3
34.417778,8,56,1
34.417778,16,56,2
34.417778,32,56,4
34.491791,32,56,5
34.565805,16,56,3
34.565805,32,56,6
34.639819,32,56,7
34.713832,4,57,0
34.713832,8,57,0
34.713832,16,57,0
34.713832,32,57,0
34.790748,32,57,1
34.867664,16,57,1
34.867664,32,57,2
34.944580,32,57,3
35.021497,8,57,1
35.021497,16,57,2
35.021497,32,57,4
35.098413,32,57,5
35.175329,16,57,3
35.175329,32,57,6
35.252245,32,57,7
35.329161,4,58,0
35.329161,8,58,0
35.329161,16,58,0
35.329161,32,58,0
35.403175,32,58,1
35.477188,16,58,1
35.477188,32,58,2
35.551202,32,58,3
35.625215,8,58,1
35.625215,16,58,2
35.625215,32,58,4
35.699229,32,58,5
35.773243,16,58,3
35.773243,32,58,6
35.847256,32,58,7
35.921270,4,59,0
35.921270,8,59,0
35.921270,16,59,0
35.921270,32,59,0
35.998186,32,59,1
36.075102,16,59,1
36.075102,32,59,2
36.152018,32,59,3
36.228934,8,59,1
36.228934,16,59,2
36.228934,32,59,4
36.305850,32,59,5
36.382766,16,59,3
36.382766,32,59,6
36.459683,32,59,7
36.536599,4,60,0
36.536599,8,60,0
36.536599,16,60,0
36.536599,32,60,0
36.610612,32,60,1
36.684626,16,60,1
36.684626,32,60,2
36.758639,32,60,3
36.832653,8,60,1
36.832653,16,60,2
36.832653,32,60,4
36.906667,32,60,5
36.980680,16,60,3
36.980680,32,60,6
37.054694,32,60,7
37.128707,4,61,0
37.128707,8,61,0
37.128707,16,61,0
37.128707,32,61,0
37.207075,32,61,1
37.285442,16,61,1
37.285442,32,61,2
37.363810,32,61,3
37.442177,8,61,1
37.442177,16,61,2
37.442177,32,61,4
37.520544,32,61,5
37.598912,16,61,3
37.598912,32,61,6
37.677279,32,61,7
37.755646,4,62,0
37.755646,8,62,0
37.755646,16,62,0
37.755646,32,62,0
37.831111,32,62,1
37.906576,16,62,1
37.906576,32,62,2
37.982041,32,62,3
38.057506,8,62,1
38.057506,16,62,2
38.057506,32,62,4
38.132971,32,62,5
38.208435,16,62,3
38.208435,32,62,6
38.283900,32,62,7
38.359365,4,63,0
38.359365,8,63,0
38.359365,16,63,0
38.359365,32,63,0
38.433379,32,63,1
38.507392,16,63,1
38.507392,32,63,2
38.581406,32,63,3
38.655420,8,63,1
38.655420,16,63,2
38.655420,32,63,4
38.729433,32,63,5
38.803447,16,63,3
38.803447,32,63,6
38.877460,32,63,7
38.951474,4,64,0
38.951474,8,64,0
38.951474,16,64,0
38.951474,32,64,0
39.026939,32,64,1
39.102404,16,64,1
39.102404,32,64,2
39.177868,32,64,3
39.253333,8,64,1
39.253333,16,64,2
39.253333,32,64,4
39.328798,32,64,5
39.404263,16,64,3
39.404263,32,64,6
39.479728,32,64,7
39.555193,4,65,0
39.555193,8,65,0
39.555193,16,65,0
39.555193,32,65,0
39.632109,32,65,1
39.709025,16,65,1
39.709025,32,65,2
39.785941,32,65,3
39.862857,8,65,1
39.862857,16,65,2
39.862857,32,65,4
39.939773,32,65,5
40.016689,16,65,3
40.016689,32,65,6
40.093605,32,65,7
40.170522,4,66,0
40.170522,8,66,0
40.170522,16,66,0
40.170522,32,66,0
40.244535,32,66,1
40.318549,16,66,1
40.318549,32,66,2
40.392562,32,66,3
40.466576,8,66,1
40.466576,16,66,2
40.466576,32,66,4
40.540590,32,66,5
40.614603,16,66,3
40.614603,32,66,6
40.688617,32,66,7
40.762630,4,67,0
40.762630,8,67,0
40.762630,16,67,0
40.762630,32,67,0
40.840998,32,67,1
40.919365,16,67,1
40.919365,32,67,2
40.997732,32,67,3
41.076100,8,67,1
41.076100,16,67,2
41.076100,32,67,4
41.154467,32,67,5
41.232834,16,67,3
41.232834,32,67,6
41.311202,32,67,7
41.389569,4,68,0
41.389569,8,68,0
41.389569,16,68,0
41.389569,32,68,0
41.463583,32,68,1
41.537596,16,68,1
41.537596,32,68,2
41.611610,32,68,3
41.685624,8,68,1
41.685624,16,68,2
41.685624,32,68,4
41.759637,32,68,5
41.833651,16,68,3
41.833651,32,68,6
41.907664,32,68,7
41.981678,4,69,0
41.981678,8,69,0
41.981678,16,69,0
41.981678,32,69,0
42.058594,32,69,1
42.135510,16,69,1
42.135510,32,69,2
42.212426,32,69,3
42.289342,8,69,1
42.289342,16,69,2
42.289342,32,69,4
42.366259,32,69,5
42.443175,16,69,3
42.443175,32,69,6
42.520091,32,69,7
42.597007,4,70,0
42.597007,8,70,0
42.597007,16,70,0
42.597007,32,70,0
42.671020,32,70,1
42.745034,16,70,1
42.745034,32,70,2
42.819048,32,70,3
42.893061,8,70,1
42.893061,16,70,2
42.893061,32,70,4
42.967075,32,70,5
43.041088,16,70,3
43.041088,32,70,6
43.115102,32,70,7
43.189116,4,71,0
43.189116,8,71,0
43.189116,16,71,0
43.189116,32,71,0
43.266032,32,71,1
43.342948,16,71,1
43.342948,32,71,2
43.419864,32,71,3
43.496780,8,71,1
43.496780,16,71,2
43.496780,32,71,4
43.573696,32,71,5
43.650612,16,71,3
43.650612,32,71,6
43.727528,32,71,7
43.804444,4,72,0
43.804444,8,72,0
43.804444,16,72,0
43.804444,32,72,0
43.879909,32,72,1
43.955374,16,72,1
43.955374,32,72,2
44.030839,32,72,3
44.106304,8,72,1
44.106304,16,72,2
44.106304,32,72,4
44.181769,32,72,5
44.257234,16,72,3
44.257234,32,72,6
44.332698,32,72,7
44.408163,4,73,0
44.408163,8,73,0
44.408163,16,73,0
44.408163,32,73,0
44.483628,32,73,1
44.559093,16,73,1
44.559093,32,73,2
44.634558,32,73,3
44.710023,8,73,1
44.710023,16,73,2
44.710023,32,73,4
44.785488,32,73,5
44.860952,16,73,3
44.860952,32,73,6
44.936417,32,73,7
45.011882,4,74,0
45.011882,8,74,0
45.011882,16,74,0
45.011882,32,74,0
45.087347,32,74,1
45.162812,16,74,1
45.162812,32,74,2
45.238277,32,74,3
45.313741,8,74,1
45.313741,16,74,2
45.313741,32,74,4
45.389206,32,74,5
45.464671,16,74,3
45.464671,32,74,6
45.540136,32,74,7
45.615601,4,75,0
45.615601,8,75,0
45.615601,16,75,0
45.615601,32,75,0
45.692517,32,75,1
45.769433,16,75,1
45.769433,32,75,2
45.846349,32,75,3
45.923265,8,75,1
45.923265,16,75,2
45.923265,32,75,4
46.000181,32,75,5
46.077098,16,75,3
46.077098,32,75,6
46.154014,32,75,7
46.230930,4,76,0
46.230930,8,76,0
46.230930,16,76,0
46.230930,32,76,0
46.304943,32,76,1
46.378957,16,76,1
46.378957,32,76,2
46.452971,32,76,3
46.526984,8,76,1
46.526984,16,76,2
46.526984,32,76,4
46.600998,32,76,5
46.675011,16,76,3
46.675011,32,76,6
46.749025,32,76,7
46.823039,4,77,0
46.823039,8,77,0
46.823039,16,77,0
46.823039,32,77,0
46.899955,32,77,1
46.976871,16,77,1
46.976871,32,77,2
47.053787,32,77,3
47.130703,8,77,1
47.130703,16,77,2
47.130703,32,77,4
47.207619,32,77,5
47.284535,16,77,3
47.284535,32,77,6
47.361451,32,77,7
47.438367,4,78,0
47.438367,8,78,0
47.438367,16,78,0
47.438367,32,78,0
47.513832,32,78,1
47.589297,16,78,1
47.589297,32,78,2
47.664762,32,78,3
47.740227,8,78,1
47.740227,16,78,2
47.740227,32,78,4
47.815692,32,78,5
47.891156,16,78,3
47.891156,32,78,6
47.966621,32,78,7
48.042086,4,79,0
48.042086,8,79,0
48.042086,16,79,0
48.042086,32,79,0
48.117551,32,79,1
48.193016,16,79,1
48.193016,32,79,2
48.268481,32,79,3
48.343946,8,79,1
48.343946,16,79,2
48.343946,32,79,4
48.419410,32,79,5
48.494875,16,79,3
48.494875,32,79,6
48.570340,32,79,7
48.645805,4,80,0
48.645805,8,80,0
48.645805,16,80,0
48.645805,32,80,0
48.721270,32,80,1
48.796735,16,80,1
48.796735,32,80,2
48.872200,32,80,3
48.947664,8,80,1
48.947664,16,80,2
48.947664,32,80,4
49.023129,32,80,5
49.098594,16,80,3
49.098594,32,80,6
49.174059,32,80,7
49.249524,4,81,0
49.249524,8,81,0
49.249524,16,81,0
49.249524,32,81,0
49.326440,32,81,1
49.403356,16,81,1
49.403356,32,81,2
49.480272,32,81,3
49.557188,8,81,1
49.557188,16,81,2
49.557188,32,81,4
49.634104,32,81,5
49.711020,16,81,3
49.711020,32,81,6
49.787937,32,81,7
49.864853,4,82,0
49.864853,8,82,0
49.864853,16,82,0
49.864853,32,82,0
49.938866,32,82,1
50.012880,16,82,1
50.012880,32,82,2
50.086893,32,82,3
50.160907,8,82,1
50.160907,16,82,2
50.160907,32,82,4
50.234921,32,82,5
50.308934,16,82,3
50.308934,32,82,6
50.382948,32,82,7
